,Region,Algoma,Bruce,Brant,Cochrane,Dufferin,Durham,Elgin,Essex,Frontenac,Grey,Hamilton,Haliburton,Haldimand,Hastings,Halton,Huron,Kenora,Chatham-Kent,Lennox and Addington,Leeds and Grenville,Lambton,Lanark,Manitoulin,Middlesex,Muskoka,Norfolk,Niagara,Nipissing,Northumberland,Ottawa,Oxford,Peterborough,Prince Edward,Peel,Prescott and Russell,Parry Sound,Perth,Renfrew,Rainy River,Sudbury,Simcoe,"Stormont, Dundas and Glengarry",Greater Sudbury,Thunder Bay,Timiskaming,Toronto,Kawartha Lakes,Wellington,Waterloo,York
Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acadian Flycatcher,,,,,,,2022-05-14,2022-05-15,2022-04-27,,2022-05-08,2022-05-09,,2022-05-15,,2022-05-01,,,2022-05-14,,,2022-05-11,,,2022-05-11,,2022-05-12,2022-05-08,,2022-05-15,,,,,2022-05-09,,,,,,,,,,,,2022-05-15,,,2022-05-22,2022-05-11
Alder Flycatcher,,2022-05-15,2022-05-14,2022-05-12,2022-05-16,2022-05-14,2022-05-13,2022-05-12,2022-05-07,2022-05-14,2022-05-16,2022-05-14,2022-05-13,2022-05-09,2022-05-15,2022-05-14,2022-05-09,2022-05-22,2022-05-11,2022-05-13,2022-05-14,2022-05-12,2022-05-14,2022-05-14,2022-05-12,2022-05-14,2022-05-11,2022-05-11,2022-05-16,2022-05-13,2022-05-14,2022-05-10,2022-05-14,2022-05-13,2022-05-15,2022-05-15,2022-05-15,2022-05-15,2022-05-15,2022-05-16,2022-05-14,2022-05-14,2022-05-14,2022-05-15,2022-05-17,2022-05-15,2022-05-12,2022-05-14,2022-05-14,2022-05-12,2022-05-14
American Black Duck,,2022-03-18,2022-03-05,2022-02-23,2022-03-31,2022-03-03,2022-03-03,2022-02-28,2022-03-08,2022-03-07,2022-03-07,2022-03-07,2022-03-08,2022-03-11,2022-03-07,2022-03-07,2022-03-02,2022-05-07,2022-03-14,2022-03-14,2022-03-15,2022-03-01,2022-03-13,2022-03-17,2022-03-07,2022-04-14,2022-03-01,2022-03-07,2022-03-20,2022-02-20,2022-03-03,2022-02-24,2022-03-01,2022-02-23,2022-02-28,2022-03-12,2022-03-22,2022-02-28,2022-03-16,2022-04-10,2022-04-01,2022-03-02,2022-03-14,2022-03-02,2022-03-23,2022-04-02,2022-03-07,2022-03-03,2022-02-25,2022-02-19,2022-03-10
American Avocet,,,2022-05-15,,,,2022-04-01,2022-04-08,2022-04-08,,,2022-04-24,,,2022-04-15,2022-04-08,,,2022-04-22,,,,,,2022-05-15,,2022-04-08,2022-04-08,2022-05-08,2022-04-15,,2022-04-22,,,,2022-05-01,2022-04-15,,,,,,,,,,2022-04-22,,,2022-04-15,
American Bittern,,2022-04-14,2022-04-15,2022-05-08,2022-04-25,2022-04-12,2022-03-27,2022-05-01,2022-04-10,2022-04-03,2022-05-07,2022-04-13,2022-04-14,2022-05-15,2022-04-16,2022-05-21,2022-04-30,2022-05-07,2022-03-27,2022-04-06,2022-04-13,2022-05-21,2022-04-08,2022-04-18,2022-04-08,2022-04-19,2022-03-28,2022-04-01,2022-04-19,2022-04-05,2022-04-12,2022-04-01,2022-04-04,2022-04-18,2022-05-21,2022-04-16,2022-04-14,2022-04-26,2022-04-16,2022-04-23,2022-04-15,2022-04-05,2022-04-09,2022-04-13,2022-04-26,2022-04-20,2022-04-01,2022-04-15,2022-04-10,2022-04-14,2022-05-01
American Crow,,2022-02-24,2022-02-18,2022-02-19,2022-03-05,2022-02-19,2022-02-18,2022-02-15,2022-02-17,2022-02-17,2022-02-20,2022-02-18,2022-02-21,2022-03-06,2022-02-18,2022-02-19,2022-05-10,2022-02-27,2022-03-03,2022-02-20,2022-02-18,2022-02-19,2022-02-18,2022-05-02,2022-02-19,2022-02-20,2022-02-19,2022-02-19,2022-02-23,2022-02-17,2022-02-19,2022-02-20,2022-02-18,2022-02-22,2022-02-19,2022-02-18,2022-02-22,2022-02-19,2022-02-19,2022-02-22,2022-02-28,2022-02-18,2022-02-25,2022-02-28,2022-02-28,2022-03-02,2022-02-19,2022-02-18,2022-02-18,2022-02-19,2022-02-18
American Goldfinch,,2022-05-04,2022-04-25,2022-04-21,2022-05-08,2022-04-23,2022-03-30,2022-04-23,2022-04-13,2022-04-15,2022-04-18,2022-03-29,2022-05-01,2022-03-23,2022-04-20,2022-04-03,2022-04-24,2022-05-12,2022-04-17,2022-04-15,2022-04-19,2022-03-24,2022-04-19,2022-02-24,2022-04-04,2022-04-25,2022-04-13,2022-04-02,2022-02-21,2022-04-18,2022-04-03,2022-04-26,2022-04-06,2022-04-26,2022-03-27,2022-04-26,2022-05-14,2022-04-04,2022-04-18,2022-05-12,2022-05-06,2022-04-12,2022-04-19,2022-05-05,2022-05-08,2022-05-03,2022-03-20,2022-04-27,2022-04-10,2022-04-07,2022-04-09
American Kestrel,,2022-03-22,2022-03-16,2022-03-23,2022-04-01,2022-03-23,2022-03-16,2022-03-23,2022-04-07,2022-03-15,2022-03-15,2022-03-22,2022-03-17,2022-02-28,2022-03-21,2022-03-17,2022-03-02,2022-04-01,2022-04-14,2022-03-17,2022-03-15,2022-03-28,2022-03-16,2022-03-13,2022-03-24,2022-03-20,2022-03-20,2022-04-02,2022-03-25,2022-03-12,2022-03-16,2022-03-08,2022-03-18,2022-03-18,2022-04-10,2022-03-21,2022-03-24,2022-03-26,2022-03-20,2022-03-21,2022-03-30,2022-03-16,2022-03-19,2022-03-19,2022-03-31,2022-03-24,2022-03-20,2022-03-21,2022-03-21,2022-03-18,2022-03-26
American Pipit,,2022-04-24,2022-04-25,2022-04-30,2022-04-30,2022-04-30,2022-02-23,2022-03-20,2022-04-26,2022-04-21,2022-05-01,2022-05-03,2022-04-17,2022-04-14,2022-04-22,2022-05-14,2022-04-17,2022-04-30,2022-04-26,2022-05-01,2022-04-16,2022-04-16,2022-04-16,2022-05-08,2022-04-24,2022-04-27,2022-04-22,2022-05-07,2022-05-01,2022-04-26,2022-04-22,2022-04-22,2022-04-22,2022-04-17,2022-04-30,2022-05-01,2022-05-04,2022-04-26,2022-05-07,2022-05-01,2022-05-15,2022-04-24,2022-04-24,2022-05-01,2022-05-02,2022-04-26,2022-05-14,2022-04-22,2022-04-21,2022-04-23,2022-04-18
American Redstart,,2022-05-08,2022-05-04,2022-05-02,2022-05-14,2022-05-07,2022-05-03,2022-05-03,2022-04-25,2022-05-01,2022-05-07,2022-05-03,2022-05-07,2022-05-02,2022-05-04,2022-05-03,2022-05-03,2022-05-14,2022-04-29,2022-05-04,2022-05-02,2022-05-01,2022-05-02,2022-05-05,2022-04-30,2022-05-07,2022-04-30,2022-05-03,2022-05-04,2022-05-02,2022-05-03,2022-05-05,2022-05-03,2022-05-01,2022-05-04,2022-05-04,2022-05-07,2022-05-04,2022-05-07,2022-05-09,2022-05-09,2022-05-05,2022-05-03,2022-05-07,2022-05-12,2022-05-09,2022-05-03,2022-05-04,2022-05-04,2022-05-03,2022-05-04
American Robin,,2022-03-15,2022-03-04,2022-02-27,2022-03-27,2022-03-10,2022-03-02,2022-02-26,2022-03-01,2022-03-03,2022-03-01,2022-03-03,2022-03-14,2022-03-03,2022-03-08,2022-03-04,2022-03-03,2022-04-01,2022-03-01,2022-03-03,2022-03-03,2022-03-02,2022-03-04,2022-03-15,2022-03-02,2022-03-14,2022-03-02,2022-03-03,2022-03-20,2022-03-03,2022-03-07,2022-02-28,2022-03-03,2022-03-02,2022-03-02,2022-03-04,2022-03-17,2022-03-03,2022-03-11,2022-03-21,2022-03-17,2022-03-07,2022-03-03,2022-03-16,2022-03-23,2022-03-21,2022-03-02,2022-03-04,2022-03-02,2022-03-03,2022-03-03
American Wigeon,,2022-03-27,2022-03-06,2022-02-23,2022-04-15,2022-03-13,2022-03-04,2022-02-23,2022-02-28,2022-03-02,2022-03-03,2022-03-04,2022-04-15,2022-03-02,2022-03-04,2022-02-28,2022-02-28,2022-04-14,2022-02-19,2022-03-03,2022-03-03,2022-03-01,2022-03-15,2022-04-03,2022-03-03,2022-03-14,2022-02-20,2022-03-02,2022-04-01,2022-03-03,2022-03-15,2022-02-22,2022-03-01,2022-03-02,2022-03-21,2022-03-19,2022-04-11,2022-03-04,2022-04-01,2022-04-10,2022-04-08,2022-03-03,2022-03-12,2022-04-01,2022-04-03,2022-04-10,2022-03-06,2022-03-02,2022-02-28,2022-03-01,2022-03-10
American Woodcock,,2022-03-19,2022-02-27,2022-03-03,2022-03-31,2022-03-13,2022-03-06,2022-03-02,2022-03-31,2022-03-07,2022-03-31,2022-03-04,2022-03-10,2022-03-11,2022-03-10,2022-03-04,2022-03-09,2022-04-03,2022-03-06,2022-03-11,2022-03-10,2022-03-01,2022-03-15,2022-03-21,2022-03-01,2022-03-14,2022-03-06,2022-03-07,2022-03-13,2022-03-09,2022-03-10,2022-03-15,2022-03-10,2022-03-06,2022-02-27,2022-04-14,2022-03-16,2022-03-14,2022-03-17,2022-03-17,2022-03-16,2022-03-07,2022-03-12,2022-03-14,2022-03-22,2022-03-29,2022-03-09,2022-03-05,2022-03-03,2022-03-06,2022-03-14
American Golden-Plover,,2022-05-15,2022-05-15,,2022-05-15,2022-04-22,2022-04-25,2022-05-08,2022-04-06,,,2022-04-26,,2022-05-08,,2022-05-15,2022-04-15,2022-05-18,2022-04-07,2022-04-22,,2022-05-08,,,,,2022-05-09,,2022-05-15,2022-05-10,2022-05-15,,2022-04-22,2022-04-08,,2022-05-08,,,,2022-05-15,,2022-05-08,,,2022-05-08,2022-05-15,2022-05-15,,,,2022-05-15
American Tree Sparrow,,2022-03-25,2022-03-20,2022-02-28,2022-03-31,2022-03-30,2022-03-14,2022-03-07,2022-03-07,2022-02-28,2022-03-27,2022-02-28,2022-04-14,2022-02-28,2022-02-28,2022-03-30,2022-04-05,2022-03-25,2022-03-31,2022-02-28,2022-02-28,2022-03-25,2022-04-07,2022-03-25,2022-02-28,2022-03-17,2022-02-28,2022-03-14,2022-03-28,2022-02-28,2022-03-28,2022-02-28,2022-03-31,2022-02-28,2022-02-28,2022-03-07,2022-04-19,2022-02-28,2022-02-28,2022-03-21,2022-03-17,2022-03-25,2022-02-28,2022-04-02,2022-03-29,2022-04-01,2022-03-07,2022-04-14,2022-02-28,2022-02-28,2022-02-28
American White Pelican,,2022-04-23,2022-04-20,,,2022-04-15,2022-05-22,,2022-05-14,,,2022-05-22,,2022-05-08,2022-05-08,2022-04-01,2022-05-01,2022-04-19,2022-04-15,,2022-04-22,2022-05-22,2022-04-22,2022-05-01,2022-04-15,,2022-05-31,2022-05-08,2022-04-22,2022-05-01,2022-05-22,,,,,,2022-05-01,,,2022-04-12,,2022-05-15,2022-05-01,2022-05-08,2022-04-12,2022-05-22,2022-04-15,2022-05-15,2022-04-08,2022-05-22,2022-05-01
Arctic Tern,,2022-05-15,,,2022-05-18,,,,,,,,,,,2022-05-22,,2022-05-20,,,2022-05-01,,,,,,2022-05-08,,,2022-05-15,2022-05-16,,,,,,,,,,,,,,2022-05-15,,2022-05-15,,,,
Bay-breasted Warbler,,2022-05-05,2022-05-06,2022-05-07,2022-05-14,2022-05-08,2022-05-05,2022-05-07,2022-04-30,2022-05-06,2022-05-05,2022-05-06,2022-05-07,2022-05-05,2022-05-02,2022-05-07,2022-05-07,2022-05-16,2022-05-03,2022-05-08,2022-05-04,2022-05-05,2022-05-07,2022-05-01,2022-05-07,2022-05-07,2022-05-02,2022-05-05,2022-05-05,2022-05-04,2022-05-04,2022-05-07,2022-05-06,2022-05-02,2022-05-06,2022-05-08,2022-05-04,2022-05-07,2022-05-07,2022-05-15,2022-05-09,2022-05-06,2022-05-08,2022-05-03,2022-05-11,2022-05-13,2022-05-05,2022-05-02,2022-05-05,2022-05-07,2022-05-07
Baird's Sandpiper,,,,,,,,,2022-05-01,,,,,2022-05-19,,,,2022-05-15,2022-04-22,,,2022-04-15,,,,,,2022-05-15,,,,,,,,,,,,2022-05-08,,2022-04-22,,,2022-05-15,,2022-05-08,2022-05-22,,,
Bald Eagle,,2022-03-01,2022-02-28,2022-03-07,2022-05-14,2022-03-15,2022-03-14,2022-04-13,2022-03-07,2022-03-07,2022-03-07,2022-02-25,2022-03-07,2022-03-23,2022-03-14,2022-03-07,2022-02-25,2022-02-28,2022-03-31,2022-02-24,2022-02-28,2022-02-28,2022-03-26,2022-04-05,2022-03-07,2022-03-07,2022-02-28,2022-02-27,2022-03-12,2022-03-14,2022-03-05,2022-03-05,2022-02-26,2022-02-28,2022-02-28,2022-05-04,2022-03-19,2022-02-28,2022-02-20,2022-03-01,2022-03-10,2022-02-23,2022-04-17,2022-03-14,2022-03-31,2022-03-02,2022-02-28,2022-02-28,2022-02-19,2022-02-28,2022-03-06
Baltimore Oriole,,2022-05-08,2022-04-29,2022-04-24,2022-05-09,2022-05-01,2022-04-27,2022-04-24,2022-04-23,2022-04-30,2022-04-30,2022-04-26,2022-05-07,2022-04-23,2022-04-30,2022-04-26,2022-04-27,2022-05-10,2022-04-22,2022-04-30,2022-05-01,2022-04-24,2022-05-02,2022-05-02,2022-04-25,2022-05-05,2022-04-22,2022-04-24,2022-05-03,2022-04-25,2022-05-02,2022-04-25,2022-05-01,2022-04-26,2022-04-27,2022-05-02,2022-05-02,2022-04-27,2022-05-07,2022-05-07,2022-05-09,2022-05-01,2022-05-01,2022-05-08,2022-05-03,2022-05-07,2022-04-26,2022-05-01,2022-04-29,2022-04-28,2022-04-30
Bank Swallow,,2022-04-23,2022-04-23,2022-04-18,2022-05-09,2022-05-09,2022-04-16,2022-04-20,2022-04-15,2022-04-22,2022-04-30,2022-04-11,2022-05-12,2022-04-16,2022-04-23,2022-04-15,2022-04-17,2022-05-22,2022-04-14,2022-04-16,2022-04-23,2022-04-17,2022-04-19,2022-05-03,2022-04-17,2022-04-21,2022-04-13,2022-04-16,2022-05-01,2022-04-17,2022-04-17,2022-04-24,2022-04-21,2022-04-23,2022-04-15,2022-05-04,2022-04-18,2022-04-27,2022-05-07,2022-05-02,2022-05-01,2022-04-24,2022-04-29,2022-05-05,2022-05-02,2022-05-07,2022-04-16,2022-04-21,2022-04-20,2022-04-19,2022-04-23
Barrow's Goldeneye,,2022-03-14,2022-02-28,,,,2022-03-03,,2022-03-08,2022-02-28,2022-02-28,2022-02-28,,,2022-02-28,2022-03-08,,,,2022-03-16,2022-02-20,2022-02-28,2022-03-04,2022-03-16,,2022-03-07,,,,2022-02-28,2022-03-07,,2022-02-26,2022-04-07,,,,,2022-05-21,,,2022-02-21,2022-03-04,2022-03-13,,,2022-03-21,,,,
Barn Swallow,,2022-04-17,2022-04-14,2022-04-13,2022-04-29,2022-04-17,2022-04-07,2022-04-11,2022-04-10,2022-04-11,2022-04-10,2022-04-10,2022-04-14,2022-04-08,2022-04-14,2022-04-13,2022-04-08,2022-05-07,2022-04-08,2022-04-12,2022-04-13,2022-04-07,2022-04-16,2022-04-22,2022-04-12,2022-04-16,2022-04-07,2022-04-09,2022-04-21,2022-04-08,2022-04-13,2022-04-13,2022-04-10,2022-04-10,2022-04-11,2022-04-17,2022-04-18,2022-04-15,2022-04-20,2022-04-28,2022-04-25,2022-04-12,2022-04-16,2022-04-17,2022-05-01,2022-04-27,2022-04-07,2022-04-17,2022-04-12,2022-04-14,2022-04-15
Black-and-white Warbler,,2022-04-30,2022-04-25,2022-04-22,2022-05-07,2022-04-25,2022-04-21,2022-04-22,2022-04-21,2022-04-22,2022-04-25,2022-04-21,2022-04-26,2022-04-22,2022-04-26,2022-04-21,2022-04-24,2022-05-07,2022-04-21,2022-04-25,2022-04-23,2022-04-21,2022-04-23,2022-04-30,2022-04-22,2022-04-27,2022-04-20,2022-04-22,2022-04-30,2022-04-22,2022-04-24,2022-04-23,2022-04-24,2022-04-22,2022-04-22,2022-04-28,2022-04-27,2022-04-24,2022-04-29,2022-05-02,2022-05-01,2022-04-23,2022-04-25,2022-05-02,2022-05-07,2022-05-01,2022-04-21,2022-04-25,2022-04-23,2022-04-22,2022-04-22
Black-bellied Whistling-Duck,,,,,,,,,,,,,,,,,,,2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-crowned Night-Heron,,2022-04-04,2022-05-01,2022-04-15,,2022-04-22,2022-04-07,2022-04-07,2022-04-03,2022-04-02,2022-04-08,2022-05-04,2022-05-15,2022-03-26,2022-04-19,2022-04-03,2022-05-14,,2022-04-10,2022-04-25,2022-04-12,2022-04-15,2022-05-08,,2022-04-19,2022-05-08,2022-04-01,2022-04-18,2022-05-15,2022-04-08,2022-04-12,2022-05-09,2022-04-30,2022-04-24,2022-04-14,2022-04-08,2022-05-08,2022-05-08,2022-05-01,,2022-05-08,2022-04-13,2022-04-03,2022-04-08,2022-04-22,,2022-03-31,2022-05-22,2022-04-14,2022-05-15,2022-04-03
Black-billed Cuckoo,,2022-05-15,2022-05-11,2022-05-09,2022-05-15,2022-05-10,2022-05-15,2022-05-08,2022-05-03,2022-05-09,2022-05-11,2022-05-09,2022-05-10,2022-05-09,2022-05-14,2022-05-09,2022-05-08,,2022-05-07,2022-05-08,2022-05-09,2022-05-10,2022-05-09,2022-05-15,2022-05-09,2022-05-10,2022-05-07,2022-05-10,2022-05-20,2022-05-08,2022-05-10,2022-05-13,2022-05-12,2022-05-09,2022-05-11,2022-05-08,2022-05-11,2022-05-10,2022-05-11,2022-05-17,2022-05-10,2022-05-13,2022-05-10,2022-05-14,2022-05-16,2022-05-15,2022-05-09,2022-05-10,2022-05-11,2022-05-09,2022-05-09
Black-bellied Plover,,2022-05-08,2022-05-08,2022-05-08,2022-05-14,2022-05-15,2022-05-05,2022-05-07,2022-04-17,2022-05-16,2022-05-01,2022-04-25,,2022-05-07,2022-05-09,2022-05-09,2022-05-08,2022-05-15,2022-04-29,2022-05-09,2022-05-15,2022-05-02,2022-05-15,2022-05-08,2022-05-08,2022-05-09,2022-05-04,2022-05-13,2022-05-14,2022-05-05,2022-05-08,2022-05-15,2022-05-15,2022-05-07,2022-05-15,2022-05-07,2022-05-01,2022-05-09,2022-05-09,2022-05-16,,2022-05-10,2022-05-07,2022-05-15,2022-05-08,2022-05-09,2022-05-10,2022-05-13,2022-05-15,,2022-05-12
Blackburnian Warbler,,2022-05-07,2022-04-30,2022-05-02,2022-05-10,2022-05-02,2022-04-30,2022-04-30,2022-04-25,2022-05-01,2022-05-02,2022-04-29,2022-05-02,2022-04-25,2022-05-03,2022-04-28,2022-05-04,2022-05-08,2022-04-26,2022-05-05,2022-04-30,2022-05-01,2022-05-03,2022-05-03,2022-04-24,2022-05-03,2022-04-25,2022-04-27,2022-05-03,2022-04-30,2022-05-01,2022-05-02,2022-05-01,2022-04-30,2022-04-30,2022-05-05,2022-05-02,2022-05-02,2022-05-06,2022-05-01,2022-05-07,2022-04-30,2022-05-05,2022-05-03,2022-05-09,2022-05-09,2022-04-29,2022-05-01,2022-05-01,2022-05-01,2022-04-27
Black-backed Woodpecker,,2022-05-30,,,2022-03-11,,2022-05-14,,,2022-05-14,,2022-04-22,2022-03-03,,2022-04-09,,,2022-05-29,,2022-04-12,2022-04-22,,,2022-02-28,,2022-02-25,,,2022-05-25,2022-03-08,2022-02-26,,2022-03-07,,,2022-05-14,2022-03-03,,2022-03-31,2022-04-23,2022-03-10,,2022-04-20,2022-03-03,2022-03-14,2022-05-31,2022-03-18,2022-02-28,,,
Black-capped Chickadee,,2022-03-07,2022-05-05,2022-02-28,2022-02-27,2022-05-07,2022-04-16,2022-02-28,2022-04-10,2022-04-30,2022-02-28,2022-04-06,2022-05-07,2022-03-24,2022-04-30,2022-04-17,2022-05-07,2022-02-22,2022-04-24,2022-02-28,2022-04-30,2022-03-10,2022-02-28,2022-02-28,2022-04-26,2022-03-07,2022-04-16,2022-04-23,2022-03-07,2022-04-30,2022-03-07,2022-05-14,2022-04-30,2022-03-21,2022-04-15,2022-03-07,2022-02-28,2022-02-28,2022-03-14,2022-02-28,2022-02-28,2022-04-30,2022-04-17,2022-02-28,2022-02-28,2022-03-07,2022-02-19,2022-02-28,2022-04-30,2022-04-25,2022-04-30
Black-necked Stilt,,,,,,,,,2022-04-01,,,,,2022-05-15,,,,,2022-05-08,,,2022-04-23,,,,,,,,2022-04-01,,,,,,,,,,,,,,,,,,,,,
Blackpoll Warbler,,2022-05-07,2022-05-07,2022-05-08,2022-05-15,2022-05-13,2022-05-08,2022-05-07,2022-05-02,2022-05-09,2022-05-08,2022-05-08,2022-05-09,2022-05-08,2022-05-14,2022-05-08,2022-05-05,2022-05-11,2022-05-05,2022-05-09,2022-05-10,2022-05-07,2022-05-08,2022-05-08,2022-05-07,2022-05-07,2022-05-08,2022-05-08,2022-05-09,2022-05-08,2022-05-09,2022-05-06,2022-05-10,2022-05-08,2022-05-09,2022-05-11,2022-05-06,2022-05-07,2022-05-11,2022-05-09,2022-05-23,2022-05-08,2022-05-10,2022-05-09,2022-05-09,2022-05-09,2022-05-09,2022-05-09,2022-05-08,2022-05-08,2022-05-05
Black Tern,,2022-05-09,2022-05-10,,2022-05-17,2022-05-10,2022-05-03,2022-04-27,2022-04-30,2022-04-29,2022-05-08,2022-05-10,,2022-05-08,2022-05-03,2022-05-22,2022-04-26,2022-05-20,2022-04-30,2022-05-01,2022-04-25,2022-04-22,2022-04-30,2022-05-08,2022-05-01,2022-05-08,2022-04-30,2022-05-03,2022-05-09,2022-05-01,2022-05-07,2022-04-22,2022-05-05,2022-04-28,,2022-04-26,2022-05-01,2022-04-25,2022-04-30,2022-05-15,,2022-05-04,2022-05-07,2022-05-15,2022-05-15,2022-05-11,2022-05-21,2022-05-03,2022-05-04,,2022-05-08
Black Vulture,,2022-05-01,2022-04-20,,,,2022-03-25,2022-03-11,2022-03-08,2022-03-15,,2022-03-02,,2022-02-22,,2022-03-08,2022-05-08,,2022-03-31,,,2022-04-08,,,2022-03-15,2022-04-15,2022-03-21,2022-03-07,,2022-05-08,2022-03-15,2022-04-08,,2022-05-04,,,,2022-04-22,2022-05-01,,,2022-04-15,2022-04-15,,2022-04-10,,2022-04-05,,,,
Blue Jay,,2022-05-12,2022-04-25,2022-04-23,2022-02-28,2022-04-26,2022-04-21,2022-04-30,2022-03-27,2022-04-23,2022-04-26,2022-04-03,2022-05-03,2022-03-19,2022-04-27,2022-04-08,2022-04-15,2022-02-28,2022-04-09,2022-05-04,2022-05-02,2022-03-17,2022-05-05,2022-03-07,2022-04-06,2022-05-04,2022-04-17,2022-03-13,2022-02-24,2022-04-22,2022-04-24,2022-05-07,2022-04-09,2022-05-04,2022-03-31,2022-03-07,2022-05-14,2022-04-14,2022-05-14,2022-02-28,2022-02-28,2022-04-24,2022-04-28,2022-02-28,2022-02-28,2022-03-07,2022-04-15,2022-04-28,2022-04-16,2022-04-13,2022-04-17
Brown-headed Cowbird,,2022-04-02,2022-03-20,2022-03-12,2022-04-12,2022-03-23,2022-03-19,2022-03-22,2022-03-19,2022-03-17,2022-03-19,2022-03-16,2022-03-17,2022-03-16,2022-03-23,2022-03-17,2022-03-14,2022-04-14,2022-03-22,2022-03-20,2022-03-18,2022-03-15,2022-03-20,2022-04-05,2022-03-18,2022-03-31,2022-03-26,2022-03-18,2022-03-26,2022-03-18,2022-03-24,2022-03-24,2022-03-19,2022-03-17,2022-03-16,2022-03-25,2022-04-08,2022-03-20,2022-03-24,2022-04-09,2022-04-07,2022-03-18,2022-03-22,2022-03-29,2022-04-11,2022-04-04,2022-03-16,2022-03-17,2022-03-13,2022-03-20,2022-03-20
Bobolink,,2022-05-08,2022-05-01,2022-04-28,2022-05-08,2022-04-27,2022-04-30,2022-04-24,2022-04-22,2022-04-30,2022-05-02,2022-04-30,2022-05-07,2022-04-22,2022-05-01,2022-05-03,2022-04-29,2022-05-15,2022-04-23,2022-04-27,2022-05-01,2022-04-25,2022-05-01,2022-05-07,2022-05-05,2022-05-05,2022-04-22,2022-04-26,2022-05-02,2022-04-25,2022-05-03,2022-04-29,2022-04-30,2022-04-29,2022-04-28,2022-05-02,2022-05-08,2022-04-30,2022-05-02,2022-05-09,2022-05-12,2022-05-03,2022-05-02,2022-05-08,2022-05-08,2022-05-07,2022-04-25,2022-05-03,2022-04-30,2022-04-26,2022-04-28
Bohemian Waxwing,,2022-02-28,2022-03-07,,2022-03-22,2022-03-07,2022-03-08,2022-02-25,,2022-02-18,2022-03-31,2022-04-01,2022-02-27,,2022-02-28,2022-03-14,2022-03-07,2022-02-26,,2022-03-12,2022-02-22,2022-04-11,2022-02-28,2022-03-21,2022-04-06,2022-02-24,2022-03-22,2022-04-08,2022-03-14,2022-02-17,2022-02-24,,2022-02-28,2022-02-28,2022-04-07,2022-03-10,2022-03-14,2022-02-26,2022-02-28,2022-02-26,2022-04-22,2022-03-07,2022-03-19,2022-03-14,2022-03-07,2022-03-06,2022-03-15,2022-03-07,2022-03-22,2022-02-28,2022-04-12
Bonaparte's Gull,,2022-04-30,2022-04-08,2022-03-22,2022-05-01,2022-04-06,2022-03-25,2022-03-20,2022-03-16,2022-03-24,2022-04-25,2022-03-23,,2022-03-23,2022-04-07,2022-03-25,2022-03-29,2022-05-07,2022-03-17,2022-03-22,2022-03-25,2022-03-16,2022-04-22,2022-04-22,2022-03-23,2022-05-07,2022-03-20,2022-04-06,2022-05-02,2022-04-01,2022-05-02,2022-03-25,2022-03-31,2022-03-24,2022-03-23,2022-04-24,2022-05-01,2022-04-07,2022-05-02,2022-04-23,2022-05-08,2022-04-26,2022-04-25,2022-05-03,2022-04-30,2022-04-30,2022-03-26,2022-03-27,2022-04-01,2022-03-26,2022-03-23
Brant,,,,,2022-05-03,,2022-05-08,2022-05-15,2022-05-15,2022-05-02,2022-05-15,2022-05-11,,2022-03-01,2022-05-08,2022-05-16,,2022-05-18,2022-05-15,2022-05-04,2022-05-07,,2022-05-09,,2022-05-22,,2022-05-07,2022-05-09,2022-05-12,2022-05-02,2022-05-04,,2022-05-02,2022-05-07,2022-05-16,2022-05-08,2022-05-08,,2022-05-07,,,2022-05-15,2022-04-30,2022-05-08,,2022-05-08,2022-05-07,2022-05-15,,,2022-05-22
Barred Owl,,2022-03-28,2022-04-08,2022-03-01,2022-03-01,2022-03-07,2022-03-14,2022-03-10,,2022-04-11,2022-03-19,2022-04-17,2022-04-20,,2022-05-09,2022-02-25,,2022-04-02,2022-02-28,2022-02-26,2022-05-08,2022-02-28,2022-03-30,2022-04-01,,2022-03-27,2022-05-02,2022-04-27,2022-04-14,2022-05-14,2022-03-07,2022-02-28,2022-04-19,2022-02-15,2022-03-14,2022-04-16,2022-04-03,2022-02-23,2022-03-13,2022-04-15,2022-03-17,2022-03-07,2022-04-19,2022-05-17,2022-03-11,2022-05-09,2022-03-14,2022-05-14,2022-04-21,2022-03-04,2022-03-07
Brown Creeper,,2022-04-03,2022-03-21,2022-03-21,2022-03-21,2022-04-14,2022-03-26,2022-03-24,2022-03-17,2022-03-19,2022-04-04,2022-03-27,2022-03-23,2022-03-23,2022-03-26,2022-03-25,2022-03-24,2022-05-22,2022-03-20,2022-03-16,2022-03-31,2022-03-17,2022-04-02,2022-03-23,2022-04-02,2022-03-06,2022-03-20,2022-03-21,2022-05-14,2022-03-20,2022-03-27,2022-03-01,2022-03-22,2022-03-20,2022-03-28,2022-04-19,2022-03-31,2022-03-26,2022-04-04,2022-03-29,2022-02-26,2022-03-23,2022-04-02,2022-05-27,2022-03-29,2022-05-07,2022-03-21,2022-04-05,2022-04-02,2022-04-03,2022-03-31
Brown Pelican,,,,,,,2022-05-15,,2022-05-08,,,2022-05-15,,,,,,,,,,,,,,,2022-05-15,2022-05-15,,,,,,,,,,,,,,,,,,,2022-05-15,,,,
